date,time,price
2026-03-26,09:15:00,70030.85
2026-03-26,09:19:49,69895.88
2026-03-26,09:24:52,69958.68
2026-03-26,09:29:58,69985.63
2026-03-26,09:34:52,69545.02
2026-03-26,09:39:50,69444.90
2026-03-26,09:44:54,69464.16
2026-03-26,09:49:51,69414.57
2026-03-26,09:54:51,69543.12
2026-03-26,09:59:56,69565.28
2026-03-26,10:04:52,69499.78
2026-03-26,10:09:52,69524.18
2026-03-26,10:14:51,69533.75
2026-03-26,10:19:55,69624.52
2026-03-26,10:24:51,69651.87
2026-03-26,10:29:50,69652.91
2026-03-26,10:34:52,69585.73
2026-03-26,10:39:53,69571.50
2026-03-26,10:44:59,69511.35
2026-03-26,10:49:56,69496.56
2026-03-26,10:54:53,69481.00
2026-03-26,10:59:54,69461.64
2026-03-26,11:04:54,69596.10
2026-03-26,11:10:00,69547.47
2026-03-26,11:14:55,69534.50
2026-03-26,11:19:52,69500.81
2026-03-26,11:24:54,69399.65
2026-03-26,11:29:51,69277.64
2026-03-26,11:34:53,69329.70
2026-03-26,11:39:52,69390.64
2026-03-26,11:44:51,69390.39
2026-03-26,11:49:54,69379.59
2026-03-26,11:54:50,69346.11
2026-03-26,11:59:55,69258.39
2026-03-26,12:04:56,69302.41
2026-03-26,12:09:50,69330.13
2026-03-26,12:14:53,69350.05
2026-03-26,12:19:52,69336.97
2026-03-26,12:24:51,69362.22
2026-03-26,12:30:00,69375.67
2026-03-26,12:34:53,69349.13
2026-03-26,12:39:51,69289.00
2026-03-26,12:44:54,69348.15
2026-03-26,12:49:53,69359.45
2026-03-26,12:54:56,69367.17
2026-03-26,12:59:53,69416.11
2026-03-26,13:02:22,69413.60
